marks,s04,s05,s06,s07,s08,s09,s10,s11,s12,s13,s14,s15
0,44,46,32,29,44,96,71,188,214,206,434,272
1,24,25,21,15,32,48,53,125,159,203,302,235
2,36,20,40,24,37,73,46,113,186,209,323,289
3,38,27,53,30,43,61,80,180,204,294,373,335
4,51,41,34,33,53,67,84,185,237,304,388,386
5,65,37,61,40,62,78,120,219,252,341,425,390
6,80,43,62,59,62,92,126,246,300,401,505,487
7,92,66,86,49,51,104,138,262,302,477,511,496
8,100,69,85,76,95,94,172,256,369,519,637,473
9,119,97,98,59,78,104,200,292,404,579,633,592
10,134,123,118,87,98,139,188,279,441,633,668,608
11,169,119,126,104,105,163,254,391,451,679,746,614
12,150,139,167,122,157,181,257,402,479,723,854,708
13,185,170,148,135,133,199,302,417,528,806,803,736
14,226,185,176,140,147,229,344,472,571,872,934,831
15,258,230,199,160,195,241,386,522,630,933,968,876
16,285,217,238,195,211,280,393,562,681,1089,1068,804
17,364,260,258,218,212,347,457,642,733,1171,1214,805
18,335,297,303,253,254,318,530,695,778,1287,1269,759
19,459,347,365,291,332,375,574,792,839,1246,1236,996
20,465,420,420,343,351,452,589,838,944,1290,1316,980
21,578,476,475,353,388,458,677,936,1062,1443,1522,1123
22,663,524,566,423,441,541,810,979,1122,1488,1596,1301
23,709,648,648,537,538,600,867,1034,1164,1574,1802,1505
24,923,690,707,576,580,752,936,1124,1235,1820,2027,1681
25,951,783,767,636,688,889,1019,1277,1350,2116,2302,1976
26,1146,805,799,729,760,873,1045,1523,1439,2350,2524,2560
27,1233,954,950,823,836,1105,1228,1757,1666,2645,2756,3085
28,1333,1073,975,941,977,1306,1377,2014,1995,2853,3059,3478
29,1383,1171,1222,1141,1186,1449,1744,2405,2226,3000,3156,3955
30,1475,1358,1348,1239,1273,1693,1936,2565,2530,3312,3385,3270
31,1597,1514,1543,1471,1524,1987,2280,2840,2916,3490,3619,3716
32,2179,1932,2300,2644,2122,2843,2809,3642,3741,5348,5166,4702
33,2268,2181,2146,2136,2060,2937,2888,3453,3544,4499,4660,4697
34,2426,2270,2397,2309,2315,3101,3259,3836,3878,5071,4866,5127
35,2684,2844,2513,2715,2793,3366,3854,4391,4448,5523,5346,5198
36,3006,2927,2867,2955,3173,3655,3930,4720,4996,5962,5889,5541
37,3327,3369,3073,3355,3569,4149,4907,5454,5518,6517,6183,5872
38,3603,3513,3554,3631,3769,5158,5633,6673,6955,7273,6784,6160
39,3863,3925,3890,3967,4043,5139,5871,7245,7449,7664,7626,6673
40,4231,4207,4246,4344,4643,5614,6189,7431,7629,8508,8053,6938
41,4668,4638,4680,4694,4910,6065,6902,7949,8275,8676,8758,7549
42,4825,5040,5059,5313,5382,6548,7274,8446,8667,11102,10452,7784
43,5201,5432,5586,5690,5777,7316,7878,9258,9357,10698,10175,8519
44,5598,5933,6019,6140,6340,7955,8273,9755,10189,11078,10664,8994
45,5916,6233,6321,6477,6887,8150,8925,10532,10804,11964,11388,9912
46,6139,6637,6895,7103,7499,8912,9671,11227,11361,12667,12104,10475
47,6657,7121,7294,7604,7983,9465,10577,11946,12100,13521,12952,12010
48,6918,7424,7715,7959,8549,10205,11127,12619,12719,14050,13800,12196
49,7302,8199,8198,8367,9252,11040,11864,13261,13435,14792,14715,13026
50,7558,8385,8922,8906,9995,11639,12676,14335,14115,15622,15488,14023
51,7956,8884,9339,9434,10471,12118,13403,14726,14639,16352,16246,14556
52,8266,9096,9772,9690,11423,12490,13917,15437,15150,17114,16940,15305
53,8721,9683,10070,10159,11912,13274,14825,16149,15691,17781,17539,15890
54,9181,10144,10500,10461,12208,13664,15361,16742,15840,18428,18232,17026
55,9454,10284,10618,11127,12852,14372,15880,17335,16214,18832,18884,17334
